DataElementName,OriginalDataElementName,Category,Sector,Notes,Indicators,IsDisaggregate
Home language,Home language,School Climate,,,,True
IB course designation,IB course designation,Postsecondary Transitions,,,Access to early college coursework,False
IECMHC services offered,IECMHC services offered,Kindergarten Readiness,,,"Access to health, mental health, and social supports",False
In-demand status,In-demand status,Workforce Success,,,Access to in-demand CTE pathways,False
Income level,Income level,School Climate,,,,True
Indicator of access to desktop or laptop at home,Indicator of access to desktop or laptop at home,School Climate,,,Access to technology,False
Indicator of access to reliable broadband internet,Indicator of access to reliable broadband internet,School Climate,,,Access to technology,False
Indicator of whether services were provided,Indicator of whether services were provided,School Climate,,,Access to early intervention screening; Enrollment in quality public pre-K,False
Individual or family military status,Individual or family military status,School Climate,,,,True
Individual with current or past child welfare involvement,Individual with current or past child welfare involvement,School Climate,,,,True
Individuals experiencing homelessness,Individuals experiencing homelessness,School Climate,,,,True
Industry-recognized credential attainment,Industry-recognized credential attainment,Workforce Success,,,Industry-recognized credential,False
Institution graduation rate,"Institution graduation rate; PS institution graduation rate, by race/ethnicity and Pell grant receipt",Postsecondary Success,,,Institution graduation rate; Selection of a well-matched postsecondary institution,False
Institutional expenditure per student,Institutional expenditure per student,Postsecondary Success,,,Institution funding,False
Instructor observations,Instructor observation results,Teaching Effectiveness,,,Classroom observations of instructional practice,False
Insured status,Insured status,School Climate,,,Health insurance coverage,False
Job quality index,Results on job quality index,Workforce Success,,,Employment in a quality job,False
Job title or position type,"Job title or position type (school leader or administrator); Job title or position type (teacher or educator, prior and current year); Position type (school leader or administrator); Staff type or role description; Position type (lead pre-K teacher status)",Teaching Effectiveness,,,"Access to college and career advising; Access to health, mental health, and social supports; Educator retention; Teacher credentials",False
Justice involvement,Justice involvement,School Climate,,,,True
K-12 school type,K-12 school type,School Climate,,,,True
Kindergarten enrollment date,Kindergarten enrollment date,Kindergarten Readiness,,,Access to full-day pre-K; Enrollment in quality public pre-K,False
Kindergarten program days per week,Kindergarten program days per week,Kindergarten Readiness,,,Access to full-day kindergarten; Early grades on track,False
Kindergarten program hours per day,Kindergarten program hours per day,Kindergarten Readiness,,,Access to full-day kindergarten; Early grades on track,False
Kindergarten readiness assessments (cognition),Results on kindergarten readiness assessment (cognition); Results on kindergarten readiness assessment (cognition) (PK),Kindergarten Readiness,PK,,Kindergarten readiness: cognition,False
Leader effectiveness assessments,Results on leader effectiveness assessment,Teaching Effectiveness,,,Effective program and school leadership,False
Learning and development plan offered,Learning and development plan offered,Workforce Success,,,Access to ongoing career skills development,False
LGBT status,LGBT status,School Climate,,,,True
Location-adjusted cost of living in county or MSA,Location-adjusted cost of living in county or MSA,Workforce Success,,,Access to jobs paying a living wage,False
Low Transportation Cost Index,"Low Transportation Cost Index, from the U.S. Department of Housing and Urban Development",Workforce Transitions,,,Access to transportation,False
Math proficiency (Grades 1 and 2),Math proficiency (or math assessment score) (Grade 1 & 2); Math proficiency (or math assessment score) (Grades 1 & 2),Postsecondary Transitions,K-12,,Early grades on track,False
Median student debt,Median student debt,Postsecondary Success,,,Cumulative student debt,False
Medicaid eligibility status,Medicaid eligibility status,School Climate,,,Health insurance coverage,False
Medicaid enrollment,Medicaid enrollment,School Climate,,,Health insurance coverage,False
Mental and emotional well-being assessments,Results on mental and emotional well-being assessments,Social-Emotional Learning,,,Mental and emotional well-being,False
Mental health services offered,Mental health services offered,School Climate,,,"Access to health, mental health, and social supports",False
Net worth,Net worth,Workforce Success,,,Economic security,False
Number of ACEs,Number of ACEs,Social-Emotional Learning,,,Childhood experience; Childhood experiences,False
Number of affordable housing units in city or county,Number of affordable housing units in city or county,Workforce Transitions,,,Access to affordable housing,False
Number of city or county residents experiencing poverty,Number of city or county residents experiencing poverty,School Climate,,,Neighborhood economic diversity,False
Number of city or county residents living in a high poverty neighborhood,Number of city or county residents living in a high poverty neighborhood,School Climate,,,Neighborhood economic diversity,False
Number of credits attempted,Number of credits attempted,Postsecondary Success,,,First-year credit accumulation,False
Number of credits earned,Number of credits earned,Postsecondary Success,,,First-year credit accumulation; First-year program of study concentration; Gateway course completion,False
Number of days suspended (K-12),Number of days suspended,School Climate,K-12,,Equitable discipline practices,False
Number of days suspended (PK),Number of days suspended (PK),School Climate,PK,,Equitable discipline practices,False
Number of households with low income in city or county,Number of households with low income in city or county,School Climate,,,Access to affordable housing,False
Number of households with very low income in city or county,Number of households with very low income in city or county,School Climate,,,Access to affordable housing,False
Number of juvenile arrests in city or county,Number of juvenile arrests in city or county,School Climate,,,Neighborhood juvenile arrests,False
Number of property felonies in city or county,Number of property felonies in city or county,School Climate,,,Exposure to neighborhood crime,False
Number of violent felonies in city or county,Number of violent felonies in city or county,School Climate,,,Exposure to neighborhood crime,False
Occupation category,Occupation category,Workforce Success,,,,True
Office referrals (K-12),Office referrals,School Climate,K-12,,Equitable discipline practices,False
Office referrals (PK),Office referrals (PK),School Climate,PK,,Equitable discipline practices,False
On-the-job training offered,On-the-job training offered,Workforce Success,,,Access to ongoing career skills development,False
Overall teacher observation score,Overall teacher observation score,Teaching Effectiveness,,,Classroom observations of instructional practice,False
Parental education level,Parental education level,Postsecondary Transitions,,,,True
Participation in work-based learning,Participation in work-based learning,Workforce Transitions,,,Participation in work-based learning,False
Pell grant receipt,"PS institution graduation rate, by race/ethnicity and Pell grant receipt",Postsecondary Success,,,Selection of a well-matched postsecondary institution,False
Percentage of teachers regularly using standards-aligned; culturally responsive curricula,"Percentage of teachers regularly using standards-aligned, culturally responsive curricula",Teaching Effectiveness,,,"Access to quality, culturally responsive curricula",False
Physical health surveys (K-12),Physical health survey results (K-12),School Climate,K-12,,Physical development and well-being,False
Physical health surveys (Postsecondary),Physical health survey results (Postsecondary),Postsecondary Success,Postsecondary,,Physical development and well-being,False
Physical health surveys (Workforce),Physical health survey results (Workforce),Workforce Success,Workforce,,Physical development and well-being,False
Post-baccalaureate program enrollment date,Post-baccalaureate program enrollment date,Postsecondary Success,,,Enrollment in graduate education,False
Postsecondary applications submitted,Postsecondary applications submitted,Postsecondary Transitions,Postsecondary,,College applications,False
Postsecondary credential attainment date,Postsecondary credential attainment date,Postsecondary Success,Postsecondary,,Postsecondary certificate or degree completion; Postsecondary persistence,False
Postsecondary credential earned,Postsecondary credential earned,Postsecondary Success,Postsecondary,,Postsecondary credential completion,False
Postsecondary degree program length,Postsecondary degree program length,Postsecondary Success,Postsecondary,,Postsecondary certificate or degree completion; Postsecondary persistence; Transfer (if applicable),False
Postsecondary enrollment date,Postsecondary enrollment date; Postsecondary enrollment date OR first-year indicator,Postsecondary Transitions,Postsecondary,,First-year credit accumulation; First-year program of study concentration; Gateway course completion; Postsecondary certificate or degree completion; Postsecondary enrollment after high school graduation; Selection of a well-matched postsecondary institution; Senior summer on track,False
Postsecondary enrollment status (Full time/part time),Postsecondary enrollment status (Full time/part time),Postsecondary Success,Postsecondary,,First-year credit accumulation,False
Postsecondary institution classification,Postsecondary institution classification,Postsecondary Success,Postsecondary,,,True
Postsecondary Institution ID,Postsecondary Institution ID,Postsecondary Success,Postsecondary,,Selection of a well-matched postsecondary institution,False
Postsecondary institution ID (current and prior years),Postsecondary institution ID (current and prior years),Postsecondary Success,Postsecondary,,Transfer (if applicable),False
Postsecondary major,Postsecondary major,Postsecondary Success,Postsecondary,,,True
Pre-K eligbility status,Pre-K eligbility status,Kindergarten Readiness,PK,,Enrollment in quality public pre-K,False
Pre-K program days per week,Pre-K program days per week,Kindergarten Readiness,PK,,Access to full-day pre-K; Enrollment in quality public pre-K,False
Pre-K program hours per day,Pre-K program hours per day,Kindergarten Readiness,PK,,Access to full-day pre-K; Enrollment in quality public pre-K,False
Pre-K program QRIS rating,Pre-K program QRIS rating,Kindergarten Readiness,PK,,Access to quality public pre-K; Enrollment in quality public pre-K,False
Reading proficiency (Grades 1 and 2),Reading proficiency (or reading assessment score) (Grade 1 & 2); Reading proficiency (or reading assessment score) (Grades 1 & 2),Postsecondary Transitions,K-12,,Early grades on track,False
