IndicatorName,IndicatorDataElement,DataModelId,GlobalId,DataWarehouseLocations
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Local Education Agency Identification System,75814,001072,RDS.DimAssessmentAdministrations.LEAIdentificationSystem
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Local Education Agency Identifier,75815,001068,RDS.DimAssessmentAdministrations.LocalEducationAgencyIdentifier; RDS.DimK12Schools.LeaIdentifierNces; RDS.DimK12Schools.LeaIdentifierSea; RDS.DimK12Schools.PriorLeaIdentifierSea; RDS.DimLeas.LeaIdentifierNces; RDS.DimLeas.LeaIdentifierSea; RDS.DimLeas.PriorLeaIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Organization Identification System,72283,000827,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Organization Identifier,72282,000826,RDS.DimCharterSchoolAuthorizers.CharterSchoolAuthorizingOrganizationOrganizationIdentifierSea; RDS.DimCharterSchoolManagementOrganizations.CharterSchoolManagementOrganizationOrganizationIdentifierSea; RDS.DimCharterSchoolManagementOrganizations.OrganizationIdentifierFein; RDS.DimEducationOrganizationNetworks.OrganizationIdentifierSea; RDS.DimIeus.IeuOrganizationIdentifierSea; RDS.DimK12Schools.IeuOrganizationIdentifierSea; RDS.DimLeas.IeuOrganizationIdentifierSea; RDS.FactCustomCounts.OrganizationIdentifierNces; RDS.FactCustomCounts.OrganizationIdentifierSea; RDS.FactCustomCounts.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StaffCounts.OrganizationIdentifierNces; RDS.ReportEDFactsK12StaffCounts.OrganizationIdentifierSea; RDS.ReportEDFactsK12StaffCounts.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAssessments.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentAssessments.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAssessments.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAttendance.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentAttendance.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAttendance.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentCounts.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentCounts.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentCounts.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentDisciplines.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentDisciplines.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentDisciplines.ParentOrganizationIdentifierSea; RDS.ReportK12PsProgramEffectiveness.K12OrganizationIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> School Identification System,75817,001073,RDS.DimAssessmentAdministrations.SchoolIdentificationSystem
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> School Identifier,75818,001069,RDS.DimAssessmentAdministrations.SchoolIdentifier; RDS.DimK12Schools.SchoolIdentifierNces; RDS.DimK12Schools.SchoolIdentifierSea; RDS.DimK12Schools.PriorSchoolIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> State Agency Identification System,75820,001491,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> State Agency Identifier,75821,001490,RDS.DimIeus.SeaOrganizationIdentifierSea; RDS.DimK12Schools.SeaOrganizationIdentifierSea; RDS.DimLeas.SeaOrganizationIdentifierSea; RDS.DimSeas.SeaOrganizationIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Organization Information -> Early Childhood Program Enrollment Type,72285,000829,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Organization Information -> Early Learning Program Year,72315,000864,
Enrollment in public pre-K,Early Learning -> Parent/Guardian -> Education -> Highest Level of Education Completed,71152,000141,
Enrollment in public pre-K,K12 -> K12 Student -> Homeless -> Homeless Serviced Indicator,71767,000147,RDS.DimHomelessnessStatuses.HomelessServicedIndicatorCode; RDS.DimHomelessnessStatuses.HomelessServicedIndicatorDescription; RDS.ReportEDFactsK12StudentAssessments.HOMELESSSERVICEDINDICATOR; RDS.ReportEDFactsK12StudentCounts.HOMELESSSERVICEDINDICATOR; RDS.ReportEDFactsK12StudentDisciplines.HOMELESSSERVICEDINDICATOR
Developmental progress - Language and literacy,Assessments -> Assessment -> Assessment Identifier,71178,001067,RDS.DimAssessmentAdministrations.AssessmentIdentifier; RDS.DimAssessments.AssessmentIdentifierState
Developmental progress - Language and literacy,Assessments -> Assessment -> Assessment Short Name,71390,000931,RDS.DimAssessments.AssessmentShortName
Developmental progress - Language and literacy,Assessments -> Assessment -> Assessment Type,71177,000029,RDS.DimAssessments.AssessmentTypeCode; RDS.DimAssessments.AssessmentTypeDescription; RDS.DimAssessments.AssessmentTypeEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.ASSESSMENTTYPE; RDS.ReportEDFactsK12StudentAssessments.AssessmentTypeAdministeredToEnglishLearners; RDS.ToggleAssessments.AssessmentType; RDS.ToggleAssessments.AssessmentTypeCode
Developmental progress - Language and literacy,Assessments -> Assessment Administration -> Assessment Administration Finish Date,72850,000964,RDS.DimAssessmentAdministrations.AssessmentAdministrationFinishDate
Developmental progress - Language and literacy,Assessments -> Assessment Result -> Assessment Result Score Value,71227,000245,RDS.FactK12StudentAssessments.AssessmentResultScoreValueRawScore; RDS.FactK12StudentAssessments.AssessmentResultScoreValueScaleScore; RDS.FactK12StudentAssessments.AssessmentResultScoreValuePercentile; RDS.FactK12StudentAssessments.AssessmentResultScoreValueTScore; RDS.FactK12StudentAssessments.AssessmentResultScoreValueZScore; RDS.FactK12StudentAssessments.AssessmentResultScoreValueACTScore; RDS.FactK12StudentAssessments.AssessmentResultScoreValueSATScore
Developmental progress - Language and literacy,Early Learning -> Early Learning Child -> Demographic -> Birthdate,70617,000033,RDS.DimPeople.BirthDate
Developmental progress - Language and literacy,Early Learning -> Early Learning Child -> Demographic -> Hispanic or Latino Ethnicity,70624,000144,
Developmental progress - Language and literacy,Early Learning -> Early Learning Child -> Demographic -> Homelessness Status,70625,000149,RDS.DimAeDemographics.HomelessnessStatusCode; RDS.DimAeDemographics.HomelessnessStatusDescription; RDS.DimHomelessnessStatuses.HomelessnessStatusCode; RDS.DimHomelessnessStatuses.HomelessnessStatusDescription; RDS.DimHomelessnessStatuses.HomelessnessStatusEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.HOMElESSNESSSTATUS; RDS.ReportEDFactsK12StudentCounts.HOMELESSNESSSTATUS; RDS.ReportEDFactsK12StudentDisciplines.HOMELESSNESSSTATUS; RDS.ReportPsAttainment.HomelessnessStatus
Developmental progress - Language and literacy,Early Learning -> Early Learning Child -> Demographic -> Migrant Status,73291,000189,RDS.DimAeDemographics.MigrantStatusCode; RDS.DimAeDemographics.MigrantStatusDescription; RDS.DimMigrantStatuses.MigrantStatusCode; RDS.DimMigrantStatuses.MigrantStatusDescription; RDS.DimMigrantStatuses.MigrantStatusEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.MIGRANTSTATUS; RDS.ReportEDFactsK12StudentAttendance.MIGRANTSTATUS; RDS.ReportEDFactsK12StudentCounts.MIGRANTSTATUS; RDS.ReportEDFactsK12StudentDisciplines.MIGRANTSTATUS; RDS.ReportEDFactsOrganizationStatusCounts.MIGRANTSTATUS; RDS.ReportK12PsProgramEffectiveness.MigrantStatus; RDS.ReportPsAttainment.MigrantStatus
Developmental progress - Language and literacy,Early Learning -> Early Learning Child -> Demographic -> Military Connected Student Indicator,75731,001576,RDS.DimAeDemographics.MilitaryConnectedStudentIndicatorCode; RDS.DimAeDemographics.MilitaryConnectedStudentIndicatorDescription; RDS.DimMilitaryStatuses.MilitaryConnectedStudentIndicatorCode; RDS.DimMilitaryStatuses.MilitaryConnectedStudentIndicatorDescription; RDS.DimMilitaryStatuses.MilitaryConnectedStudentIndicatorEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.MILITARYCONNECTEDSTUDENTINDICATOR; RDS.ReportEDFactsK12StudentAttendance.MILITARYCONNECTEDSTATUS; RDS.ReportEDFactsK12StudentCounts.MILITARYCONNECTEDSTUDENTINDICATOR; RDS.ReportEDFactsK12StudentDisciplines.MILITARYCONNECTEDSTUDENTINDICATOR
