Path,DataModelId,TermId,GlobalId
K12 -> Parent/Guardian -> Identity -> Person Identifier,74387,27551,001572
K12 -> Parent/Guardian -> Relationship -> Person Relationship Type,71249,26415,000425
K12 -> K12 Student -> Academic Record -> Student Course Section Grade Earned,71757,26124,000124
K12 -> K12 Student -> Economically Disadvantaged -> Economic Disadvantage Status,71741,26086,000086
K12 -> K12 School -> Directory -> Grades Offered,70822,26131,000131
K12 -> K12 School -> Directory -> Operational Status Effective Date,70869,26525,000534
K12 -> K12 School -> Directory -> School Operational Status,70868,26524,000533
K12 -> K12 School -> Session -> Minutes Per Day,70866,26491,000500
K12 -> LEA -> Directory -> Grades Offered,75353,26131,000131
K12 -> LEA -> Directory -> Local Education Agency Operational Status,70898,26174,000174
K12 -> LEA -> Directory -> Operational Status Effective Date,70950,26525,000534
K12 -> LEA -> Programs and Services -> Frequency of Service,75926,27323,001356
K12 -> LEA -> Programs and Services -> Kindergarten Daily Length,70948,26482,000491
K12 -> K12 School -> Session -> Session Begin Date,74250,26251,000251
K12 -> K12 School -> Session -> Session End Date,74251,26253,000253
K12 -> K12 Student -> English Learner -> Title III Accountability Progress Status,71865,26527,000536
Early Learning -> Early Learning Class/Group -> Staff -> Assignment End Date,75766,26518,000527
Early Learning -> Early Learning Class/Group -> Staff -> Assignment Start Date,75767,26517,000526
Early Learning -> Early Learning Organization -> Directory -> School Level,75787,26241,000241
Early Learning -> Early Learning Staff -> Assignment -> Assignment End Date,75830,26518,000527
Early Learning -> Early Learning Staff -> Assignment -> Assignment Start Date,75831,26517,000526
Early Learning -> Early Learning Staff -> Assignment -> Classroom Position Type,75832,26615,000622
Early Learning -> Early Learning Staff -> Credential or License -> Credential Expiration Date,72251,26069,000069
Early Learning -> Early Learning Staff -> Credential or License -> Early Childhood Credential,70700,26344,000345
Early Learning -> Early Learning Staff -> Demographic -> Hispanic or Latino Ethnicity,72231,26144,000144
Early Learning -> Early Learning Staff -> Demographic -> Race,75512,27955,001943
Early Learning -> Early Learning Staff -> Demographic -> Sex,70691,26255,000255
Early Learning -> Early Learning Staff -> Education -> Degree or Certificate Conferring Date,70699,26343,000344
Early Learning -> Early Learning Staff -> Education -> Degree or Certificate Type,70698,26342,000343
Early Learning -> Early Learning Staff -> Employment -> K12 Staff Classification,75860,26087,000087
Early Learning -> Early Learning Staff -> Identity -> Staff Member Identification System,72248,26162,001074
Early Learning -> Early Learning Staff -> Identity -> Staff Member Identifier,72247,26156,001070
Early Learning -> Early Learning Staff -> Professional Development Activity -> Professional Development Activity Education Levels Addressed,73062,27245,001279
Early Learning -> Early Learning Staff -> Assignment -> Teaching Assignment End Date,75844,26648,000646
Early Learning -> Early Learning Staff -> Assignment -> Teaching Assignment Start Date,75845,26647,000645
K12 -> K12 Staff -> Assignment -> K12 Staff Classification,71080,26087,000087
K12 -> K12 Staff -> Assignment -> Teaching Assignment End Date,71142,26648,000646
K12 -> K12 Staff -> Assignment -> Teaching Assignment Start Date,71141,26647,000645
K12 -> K12 Staff -> Demographic -> Hispanic or Latino Ethnicity,71092,26144,000144
K12 -> K12 Staff -> Demographic -> Race,75536,27955,001943
K12 -> K12 Staff -> Demographic -> Sex,71111,26255,000255
K12 -> K12 Staff -> Employment -> Employment Status,71124,26346,000347
K12 -> K12 Staff -> Identity -> Staff Member Identification System,71098,26162,001074
K12 -> K12 Staff -> Identity -> Staff Member Identifier,71095,26156,001070
Assessments -> Assessment -> Assessment Score Metric Type,71181,26368,000369
K12 -> K12 Student -> Economically Disadvantaged -> Status End Date,71982,27193,001228
K12 -> K12 Student -> Economically Disadvantaged -> Status Start Date,71917,27192,001227
K12 -> K12 Staff -> Assignment -> Assignment End Date,71127,26518,000527
K12 -> K12 Staff -> Assignment -> Assignment Start Date,71126,26517,000526
K12 -> K12 Staff -> Professional Development -> Staff Evaluation Outcome,71081,26102,000102
K12 -> K12 Staff -> Professional Development -> Staff Evaluation Part Name,75542,27965,001985
K12 -> K12 Staff -> Professional Development -> Staff Evaluation Part Scale,75543,27966,001987
K12 -> K12 Staff -> Professional Development -> Staff Evaluation System,71084,26105,000105
Postsecondary -> PS Institution -> Program -> Postsecondary Program Level,74092,27595,001616
Postsecondary -> PS Staff -> Employment -> IPEDS Occupational Category,72156,26708,000731
Assessments -> Assessment Session -> Assessment Session Actual End Date Time,71461,27024,001022
Assessments -> Assessment Session -> Assessment Session Actual Start Date Time,71459,27023,001021
K12 -> K12 Course -> Course Subject Abbreviation,75531,26066,000066
K12 -> Course Section -> Session Begin Date,71014,26251,000251
K12 -> Course Section -> Course -> Course Level Characteristic,71946,26061,000061
K12 -> Course Section -> Enrollment -> Course Section Enrollment Status Type,71428,26977,000976
K12 -> K12 Student -> Enrollment -> Gifted and Talented Indicator,71756,26122,000122
