"Global ID","Data Model ID","Element Name"
"000204",72243,"Organization Name"
"000799",72244,"Union Membership Status"
"001497",73450,"Union Membership Name"
"001602",74071,"Early Learning Education Staff Classification"
"001636",74142,"Early Learning Service Professional Staff Classification"
"001384",73231,"Itinerant Provider"
"001581",74036,"Staff Approval Indicator"
"000118",73429,"Staff Full Time Equivalency"
"000730",75288,"Standard Occupational Classification"
"001946",75513,"Role"
"001959",75514,"Staff Compensation Annual Supplement"
"001960",75515,"Staff Compensation Longevity"
"001958",75516,"Staff Compensation Source Type"
"000744",75855,"Annual Base Contractual Salary"
"000047",75856,"Contract Days of Service Per Year"
"000737",75857,"Contract Type"
"000736",75858,"Full-time Status"
"000731",75859,"IPEDS Occupational Category"
"000087",75860,"K12 Staff Classification"
"000543",75861,"Migrant Education Program Personnel Indicator"
"000552",75862,"Title I Targeted Assistance Staff Funded"
"002059",76053,"Funding Source Amount"
"002058",76054,"Funding Source Percentage"
"002064",76055,"Staff Compensation Annual Supplement Description"
"000316",70694,"Language Type"
"000317",70695,"ISO 639-2 Language Code"
"001637",74218,"ISO 639-3 Language Code"
"001638",74225,"ISO 639-5 Language Family"
"000345",70700,"Early Childhood Credential"
"001429",73328,"Professional Certificate or License Number"
"001058",71499,"Name of Professional Credential or License"
"000805",72250,"State Issuing Professional Credential or License"
"001587",74054,"Credential or License Award Entity"
"000071",74131,"Credential Type"
"000806",72253,"Child Development Associate Type"
"000070",72252,"Credential Issuance Date"
"000069",72251,"Credential Expiration Date"
"000774",75851,"Teacher Education Credential Exam Score Type"
"000773",75852,"Teacher Education Credential Exam Type"
"000302",75853,"Years of Prior Teaching Experience"
"001061",71502,"Staff Professional Development Activity Start Date"
"001062",71503,"Staff Professional Development Activity Completion Date"
"000804",72249,"Required Training Clock Hours"
"000200",71513,"Number of Credits Earned"
"000057",71729,"Course Credit Units"
"001620",74098,"Professional Development Plan Approved by Supervisor"
"001621",74099,"Professional Development Plan Completion"
"001289",73079,"Career Education Plan Date"
"001290",73082,"Career Education Plan Type"
"000807",72254,"Professional Association Membership Status"
"000808",72255,"Professional Association Name"
"000811",72258,"Professional Development Scholarship Status"
"000812",72259,"Professional Development Financial Support Type"
"001575",73929,"Tuition Funded"
"001059",71500,"Cardiopulmonary Resuscitation Certification Expiration Date"
"001060",71501,"First Aid Certification Expiration Date"
"000813",72260,"Early Learning Core Knowledge Area"
"000814",72261,"State Approved Trainer Status"
"000815",72262,"State Approved Technical Assistance Provider Status"
"001337",73143,"Early Learning Professional Development Topic Area"
"001430",73329,"Professional Development Audience Type"
"001445",73350,"Professional Development Publish Activity Indicator"
"001070",73514,"Staff Member Identifier"
"001074",73515,"Staff Member Identification System"
"000212",73318,"Personal Title or Prefix"
"000115",73315,"First Name"
"000184",73316,"Middle Name"
"000172",73317,"Last or Surname"
"000121",73319,"Generation Code or Suffix"
"000213",73314,"Position Title"
"001606",74075,"Early Learning Trainer Core Knowledge Area"
